time,surface_downwelling_photosynthetic_photon_flux_in_air
2023-11-01 00:00:00+00:00,300.62
2023-11-01 00:15:00+00:00,175.6
2023-11-01 00:30:00+00:00,192.82
2023-11-01 00:45:00+00:00,83.37
2023-11-01 01:00:00+00:00,19.14
2023-11-01 01:15:00+00:00,3.04
2023-11-01 01:30:00+00:00,2.94
2023-11-01 01:45:00+00:00,2.93
2023-11-01 02:00:00+00:00,2.92
2023-11-01 02:15:00+00:00,2.92
2023-11-01 02:30:00+00:00,2.92
2023-11-01 02:45:00+00:00,2.92
2023-11-01 03:00:00+00:00,2.91
2023-11-01 03:15:00+00:00,2.92
2023-11-01 03:30:00+00:00,2.91
2023-11-01 03:45:00+00:00,2.91
2023-11-01 04:00:00+00:00,2.9
2023-11-01 04:15:00+00:00,2.9
2023-11-01 04:30:00+00:00,2.9
2023-11-01 04:45:00+00:00,2.9
2023-11-01 05:00:00+00:00,2.9
2023-11-01 05:15:00+00:00,2.9
2023-11-01 05:30:00+00:00,2.9
2023-11-01 05:45:00+00:00,2.89
2023-11-01 06:00:00+00:00,2.89
2023-11-01 06:15:00+00:00,2.89
2023-11-01 06:30:00+00:00,2.89
2023-11-01 06:45:00+00:00,2.89
2023-11-01 07:00:00+00:00,2.89
2023-11-01 07:15:00+00:00,2.89
2023-11-01 07:30:00+00:00,2.89
2023-11-01 07:45:00+00:00,2.89
2023-11-01 08:00:00+00:00,2.9
2023-11-01 08:15:00+00:00,2.9
2023-11-01 08:30:00+00:00,2.89
2023-11-01 08:45:00+00:00,2.89
2023-11-01 09:00:00+00:00,2.89
2023-11-01 09:15:00+00:00,2.88
2023-11-01 09:30:00+00:00,2.89
2023-11-01 09:45:00+00:00,2.88
2023-11-01 10:00:00+00:00,2.89
2023-11-01 10:15:00+00:00,2.88
2023-11-01 10:30:00+00:00,2.88
2023-11-01 10:45:00+00:00,2.89
2023-11-01 11:00:00+00:00,2.89
2023-11-01 11:15:00+00:00,2.89
2023-11-01 11:30:00+00:00,2.89
2023-11-01 11:45:00+00:00,2.88
2023-11-01 12:00:00+00:00,2.89
2023-11-01 12:15:00+00:00,2.88
2023-11-01 12:30:00+00:00,2.88
2023-11-01 12:45:00+00:00,2.88
2023-11-01 13:00:00+00:00,2.88
2023-11-01 13:15:00+00:00,2.88
2023-11-01 13:30:00+00:00,2.88
2023-11-01 13:45:00+00:00,2.88
2023-11-01 14:00:00+00:00,2.88
2023-11-01 14:15:00+00:00,2.88
2023-11-01 14:30:00+00:00,2.89
2023-11-01 14:45:00+00:00,3.46
2023-11-01 15:00:00+00:00,20.5
2023-11-01 15:15:00+00:00,43.07
2023-11-01 15:30:00+00:00,105.93
2023-11-01 15:45:00+00:00,90.3
2023-11-01 16:00:00+00:00,139.11
2023-11-01 16:15:00+00:00,177.51
2023-11-01 16:30:00+00:00,267.82
2023-11-01 16:45:00+00:00,295.88
2023-11-01 17:00:00+00:00,367.27
2023-11-01 17:15:00+00:00,506.15
2023-11-01 17:30:00+00:00,628.8
2023-11-01 17:45:00+00:00,363.69
2023-11-01 18:00:00+00:00,567.17
2023-11-01 18:15:00+00:00,622.84
2023-11-01 18:30:00+00:00,644.2
2023-11-01 18:45:00+00:00,698.96
2023-11-01 19:00:00+00:00,686.72
2023-11-01 19:15:00+00:00,738.11
2023-11-01 19:30:00+00:00,754.26
2023-11-01 19:45:00+00:00,770.47
2023-11-01 20:00:00+00:00,751.24
2023-11-01 20:15:00+00:00,494.92
2023-11-01 20:30:00+00:00,835.98
2023-11-01 20:45:00+00:00,622.87
2023-11-01 21:00:00+00:00,521.75
2023-11-01 21:15:00+00:00,816.66
2023-11-01 21:30:00+00:00,698.71
2023-11-01 21:45:00+00:00,638.82
2023-11-01 22:00:00+00:00,634.09
2023-11-01 22:15:00+00:00,480.2
2023-11-01 22:30:00+00:00,264.85
2023-11-01 22:45:00+00:00,230.52
2023-11-01 23:00:00+00:00,534.77
2023-11-01 23:15:00+00:00,443.34
2023-11-01 23:30:00+00:00,367.49
2023-11-01 23:45:00+00:00,289.89
2023-11-02 00:00:00+00:00,245.66
2023-11-02 00:15:00+00:00,188.15
2023-11-02 00:30:00+00:00,122.3
2023-11-02 00:45:00+00:00,34.02
2023-11-02 01:00:00+00:00,10.01
2023-11-02 01:15:00+00:00,2.97
2023-11-02 01:30:00+00:00,2.95
